invoice_no,transaction_value,unique_products
547206,56.3,5
547209,342.2,5
547220,23.0,1
547221,85.85,3
547222,163.9,8
547226,9.95,1
547233,121.9,3
547240,5.95,1
547243,33.75,3
547245,15.9,1
547247,52.7,2
547251,17.0,1
547252,46.5,3
547253,145.15,10
547273,174.05,7
547324,108.3,2
547327,159.1,7
547334,179.3,5
547349,27.0,2
547350,39.8,1
547357,87.65,4
547358,204.4,15
547359,7.95,1
547360,217.35,4
547361,112.7,4
547362,327.6,2
547365,31.95,2
547366,25.5,1
547367,48.2,5
547370,17.85,3
547371,159.2,1
547372,72.15,6
547374,24.65,3
547375,59.85,2
547377,13.9,1
547378,783.9,6
547379,132.45,3
547380,7.95,1
547382,19.9,1
547383,86.7,3
547384,18.0,1
547387,463.25,11
547389,13.5,1
547390,40.0,1
547401,38.1,3
547406,98.1,2
547407,21.25,2
547412,15.0,1
547413,87.5,5
547414,95.45,5
547415,25.5,1
547416,123.3,2
547418,196.2,11
547419,795.6,3
547420,19.9,1
547428,81.0,1
547444,19.9,1
547485,45.75,3
547488,63.65,4
547489,81.45,4
547490,15.9,2
547491,11.9,1
547492,18.0,1
547493,479.6,3
547494,99.0,3
547496,98.5,4
547497,386.4,16
547498,40.55,5
547503,17.0,1
547504,144.0,1
547507,9.95,1
547510,34.0,1
547511,142.8,7
547513,16.5,1
547514,46.9,3
547515,99.1,2
547516,350.4,1
547517,45.0,1
547520,138.6,5
547521,112.0,6
547535,35.7,2
547538,35.8,2
547539,193.6,7
547548,15.3,1
547549,106.7,4
547550,170.0,2
547554,79.6,1
547555,47.7,1
547556,19.95,1
547562,164.4,3
547566,27.0,1
547567,39.75,2
547568,190.15,8
547569,75.5,2
547570,51.85,2
547571,151.7,6
547572,94.1,6
547573,35.7,1
547576,34.0,1
547578,129.35,4
547580,275.15,9
547623,31.8,2
547639,17.85,1
547644,172.0,4
547645,40.0,1
547647,15.9,1
547649,76.2,8
547650,124.1,15
547651,114.3,10
547652,16.7,2
547653,15.9,1
547654,26.95,2
547655,172.0,4
547656,25.85,3
547657,69.45,3
547658,85.75,5
547659,204.5,10
547662,29.75,2
547663,166.55,13
547664,36.25,5
547665,202.5,9
547669,42.15,4
547670,227.2,11
547671,34.0,1
547684,176.7,3
547689,106.1,9
547697,129.55,3
547698,51.0,1
547702,113.6,3
547703,515.1,4
547705,40.35,3
547708,3228.8,2
547709,158.8,7
547712,267.11,15
547714,31.8,2
547715,103.3,4
547716,56.5,2
547719,76.5,1
547720,267.55,11
547721,9.95,1
547722,89.75,3
547724,57.7,3
547726,135.84,1
547729,17.0,1
547730,22.7,2
547772,97.25,8
547785,378.45,18
547786,33.2,4
547789,197.95,9
547790,144.55,5
547793,402.15,14
547795,101.7,6
547796,135.0,1
547799,51.0,1
547800,90.75,8
547801,47.4,2
547803,49.5,3
547805,79.05,4
547811,24.15,2
547812,1914.0,1
547814,295.0,1
547815,40.0,1
547816,7.95,1
547818,34.0,2
547819,12.75,1
547821,72.0,1
547822,466.95,7
547825,45.85,3
547826,30.4,3
547828,51.0,1
547829,83.4,4
547832,81.0,1
547833,37.4,3
547834,408.0,3
547835,485.45,5
547837,67.4,2
547839,225.6,5
547841,53.2,4
547842,15.9,1
547844,388.9,4
547845,38.25,1
547846,25.85,2
547850,49.6,4
547860,47.6,4
547861,68.0,3
547863,98.35,4
547864,11.9,1
547866,17.85,1
547867,127.0,11
547870,23.8,1
547871,5.45,1
547872,78.35,8
547873,92.6,6
547874,48.05,4
547875,157.2,3
547876,159.35,8
547877,128.7,6
547880,54.15,5
547881,81.4,6
547882,193.3,10
547883,25.5,1
547884,91.4,5
547885,95.4,2
547886,58.8,4
547887,93.85,5
547888,244.75,7
547890,79.5,1
547892,191.3,6
547893,191.25,5
547894,16.5,1
547895,37.8,3
547896,67.65,4
547897,70.95,2
547898,223.7,7
547902,55.25,5
547903,52.5,6
547906,9.95,1
547907,25.5,2
547909,23.8,2
547910,17.85,2
547911,95.4,6
547912,113.2,5
547914,18.0,1
547918,204.6,11
547920,5.45,1
547921,67.35,4
547922,91.05,5
547923,39.95,1
547924,45.65,3
547925,105.9,2
547926,59.8,1
547931,28.0,1
547934,43.5,2
547935,154.95,2
547936,25.85,2
547937,94.65,8
547938,64.75,5
547939,127.5,1
547940,194.4,6
547941,1267.5,2
547942,35.7,1
547944,16.95,1
547945,49.65,3
547946,71.4,1
547949,76.5,1
547960,15.3,1
547962,42.75,3
547963,47.7,3
547965,15.3,1
547969,53.8,4
547971,6.95,1
547990,82.65,5
548003,108.2,5
548006,19.9,1
548007,33.75,2
548010,627.9,3
548011,1491.2,8
548012,159.95,2
548014,165.4,11
548033,181.6,5
548038,107.2,4
548148,71.25,8
548150,6.95,1
548151,11.9,1
548152,81.65,4
548154,198.9,5
548156,25.8,3
548158,113.1,3
548159,34.0,1
548160,57.0,4
548170,97.85,2
548171,124.95,1
548172,16.35,1
548176,23.6,2
548177,166.2,2
548178,35.2,2
548185,45.7,3
548188,35.65,3
548190,229.23,1
548192,53.25,5
548196,14.95,1
548197,28.9,2
548198,116.5,6
548199,14.95,1
548208,71.4,2
548210,182.85,6
548212,457.3,10
548213,52.75,3
548215,62.05,2
548218,103.2,2
548245,459.0,1
548255,256.25,8
548257,432.6,5
548258,218.0,6
548259,15.9,2
548260,66.8,2
548267,107.1,1
548289,99.05,5
548293,67.5,1
548308,91.15,5
548309,12.75,1
548311,111.3,7
548312,80.2,8
548313,176.95,8
548314,15.9,1
548315,242.1,3
548316,238.8,1
548317,15.9,1
548318,107.4,1
548319,191.95,12
548320,211.2,2
548324,68.0,1
548327,11.9,2
548329,98.1,1
548330,5.95,1
548331,109.15,5
548333,14.5,1
548334,95.2,6
548335,41.4,2
548337,11.9,1
548351,17.85,1
548358,29.2,2
548361,39.8,2
548363,400.0,1
548367,67.4,4
548370,23.85,3
548371,77.3,2
548372,86.45,2
548400,217.2,13
548401,65.55,4
548403,16.95,1
548404,441.45,23
548405,342.05,16
548406,262.8,1
548408,164.9,7
548409,443.4,5
548410,179.4,2
548412,18.0,1
548449,77.8,3
548451,46.85,2
548452,81.45,5
548457,61.9,3
548458,266.1,7
548461,46.45,4
548468,22.7,2
548470,56.0,1
548484,19.95,1
548486,29.85,2
548489,195.9,4
548490,360.3,9
548492,71.6,6
548493,418.3,4
548496,68.3,2
548497,436.05,11
548498,15.9,1
548499,13.4,2
548500,65.6,5
548509,85.0,2
548510,20.7,2
548511,156.15,7
548512,66.5,5
548521,121.25,6
548529,73.55,3
548531,764.4,2
548533,215.15,7
548534,57.5,2
548544,19.9,1
548545,150.05,9
548548,102.0,2
548549,9.95,1
548550,71.65,3
548551,51.7,2
548552,100.9,3
548555,79.9,4
548557,65.45,3
548558,15.9,1
548559,135.9,2
548561,222.9,13
548563,40.5,3
548566,13.9,1
548567,137.5,12
548568,273.25,7
548608,16.5,1
548610,198.55,15
548612,37.7,3
548614,23.85,3
548617,17.85,1
548618,43.35,2
548621,18.45,2
548622,33.75,2
548631,9.95,1
548632,224.3,12
548634,23.8,1
548636,45.65,2
548640,47.7,1
548642,19.9,2
548648,277.7,10
548650,41.4,2
548651,444.75,7
548654,126.0,1
548655,99.3,6
548657,7.95,1
548659,66.5,4
548660,448.8,3
548661,350.0,1
548664,460.4,14
548666,380.45,14
548668,37.4,2
548670,8.95,1
548673,96.4,2
548686,176.2,2
548687,90.8,2
548696,79.15,3
548697,414.0,2
548698,174.15,9
548700,137.65,4
548701,45.1,3
548702,19.9,2
548703,5.95,1
548707,73.2,5
548708,136.1,8
548710,21.8,2
548711,39.7,5
548712,93.1,6
548714,120.8,13
548715,23.8,1
548716,19.9,1
548725,134.0,1
548726,134.5,3
548728,10.98,1
548732,138.5,8
548733,236.75,16
548734,97.75,2
548735,120.65,10
548737,138.15,4
548739,223.2,16
548740,73.95,2
548741,102.2,7
548742,7.95,1
548743,71.75,4
548744,85.45,4
548745,110.3,3
548747,137.7,2
548757,97.35,6
548768,67.25,4
548780,108.9,7
548792,14.45,2
548801,17.85,1
548806,175.2,1
548807,17.85,1
548808,123.0,8
548813,4037.77,1
548820,2053.07,1
548856,5.95,1
548858,113.3,5
548859,53.65,5
548860,58.45,6
548861,90.0,3
548862,12.75,1
548863,397.55,8
548864,37.0,4
548865,151.25,7
548867,15.9,1
548868,174.45,9
548869,117.35,12
548870,17.9,2
548874,167.2,8
548892,98.15,5
548896,17.0,1
548898,53.3,5
548900,87.55,2
548907,505.0,3
548909,135.0,5
548911,53.55,2
548912,183.0,2
548913,1136.3,1
548916,47.6,3
548917,35.45,2
548919,167.1,4
548920,50.4,3
548952,157.05,5
548955,40.0,1
548968,523.3,7
548971,79.5,5
548973,62.05,2
548974,85.0,2
548975,16.35,1
548978,179.25,7
548983,18.7,2
548984,60.4,7
548987,193.15,15
548988,70.8,3
548991,70.6,6
548992,367.7,11
548993,734.4,2
549012,35.7,2
549014,23.9,4
549015,15.9,1
549017,138.5,8
549018,153.45,3
549021,37.8,2
549022,83.4,1
549026,207.45,3
549044,78.65,5
549046,268.5,3
549047,14.25,2
549052,46.9,2
549053,52.8,3
549054,68.0,2
549055,31.8,2
549056,68.5,4
549059,51.0,1
549099,43.7,5
549101,32.14,4
549102,39.95,1
549106,39.95,1
549115,350.4,1
549116,149.55,8
549117,15.9,1
549118,115.9,7
549119,83.25,2
549120,40.4,4
549121,25.5,1
549123,32.7,2
549124,81.0,1
549125,22.7,2
549126,87.65,6
549127,219.0,8
549128,124.3,12
549129,25.0,3
549130,62.55,5
549148,35.65,3
549153,84.5,4
549154,176.0,11
549169,16.95,1
549182,12.75,1
549183,53.55,2
549187,175.2,1
549188,24.65,2
549189,37.75,2
549190,84.8,4
549192,76.5,1
549193,36.0,1
549196,51.7,3
549206,51.6,2
549222,38.25,1
549233,31.8,1
549234,162.7,2
549235,152.0,7
549237,119.55,3
549238,31.75,4
549240,19.85,2
549241,15.9,2
549242,75.5,2
549243,35.7,1
549245,20.7,2
549246,67.5,1
549247,6.95,1
549249,30.0,1
549250,22.65,3
549255,19.9,1
549257,53.55,5
549258,51.0,3
549260,29.8,2
549261,76.85,5
549262,49.2,4
549263,98.1,6
549273,153.0,1
549274,107.8,4
549275,104.05,7
549276,15.9,1
549277,25.8,4
549278,13.5,1
549279,62.7,7
549280,175.2,1
549281,19.9,1
549282,50.9,2
549283,93.45,5
549284,350.4,1
549286,28.9,2
549287,7.95,1
549291,116.35,10
549292,73.35,7
549293,54.15,3
549294,68.5,4
549296,130.7,7
549297,48.8,2
549298,56.55,3
549299,33.75,2
549300,81.1,5
549301,131.9,6
549302,44.0,2
549303,35.7,2
549304,17.85,1
549305,17.85,1
549306,70.9,3
549307,121.45,5
549308,51.7,2
549309,35.7,3
549310,35.7,1
549311,142.0,2
549312,101.4,4
549316,308.55,7
549317,188.35,10
549318,55.3,3
549319,65.4,1
549320,6.75,1
549321,113.85,7
549322,15.9,1
549323,25.5,1
549324,49.9,3
549325,188.3,5
549353,74.7,4
549360,33.0,2
549368,5.45,1
549372,136.35,7
549387,63.6,2
549412,67.5,1
549417,79.8,1
549424,113.1,2
549425,108.5,6
549429,55.75,2
549431,69.65,1
549432,95.9,4
549433,119.3,3
549434,72.0,1
549435,94.8,2
549439,204.45,9
549440,50.25,3
549443,17.0,1
549445,270.0,1
549446,118.35,7
549448,65.8,3
549449,57.85,3
549451,107.2,6
549467,47.7,2
549468,1867.86,1
549520,31.8,2
549522,12.7,1
549539,262.8,1
549543,6.75,1
549546,189.05,8
549547,269.9,3
549548,59.95,7
549550,127.8,14
549551,182.7,6
549552,78.83,7
549555,27.7,2
549556,29.8,3
549558,42.85,7
549559,96.7,4
549560,28.2,3
549561,27.85,2
549563,33.9,2
549564,12.75,1
549566,42.55,5
549567,84.3,8
549568,136.9,4
549569,39.35,4
549570,8.95,1
549571,126.85,7
549572,14.45,2
549573,94.85,8
549574,15.9,1
549575,65.15,5
549576,145.7,6
549577,48.8,2
549578,195.8,3
549579,42.5,3
549581,17.85,1
549583,59.85,4
549584,65.55,2
549587,55.3,3
549588,161.7,2
549589,137.2,3
549590,246.6,2
549592,115.1,7
549595,228.75,2
549614,73.1,5
549633,71.4,1
549646,17.85,1
549664,136.0,1
549667,102.6,6
549678,196.2,3
549680,83.4,4
549682,75.9,2
549687,47.7,3
549690,106.9,6
549694,14.2,2
549696,153.0,1
549705,15.9,2
549711,128.55,4
549713,121.65,8
549715,9.95,1
549716,128.25,4
549717,15.0,1
549718,51.35,3
549719,17.85,1
549720,49.7,6
549721,89.8,2
549722,63.55,3
549728,31.8,2
549729,83.85,6
549730,97.85,5
549732,170.9,2
549733,35.7,3
549734,47.25,6
549735,191.9,4
549736,105.35,2
549739,308.82,1
549741,172.0,8
549745,145.05,9
549746,574.3,7
549748,339.9,3
549750,85.6,4
549751,286.8,3
549771,71.85,5
549787,24.4,3
549813,75.35,9
549825,49.5,2
549826,262.2,13
549829,67.15,4
549830,65.75,2
549831,127.3,6
549832,69.7,3
549833,127.2,3
549835,387.6,5
549836,100.75,4
549837,335.6,6
549838,33.0,2
549839,39.8,1
549842,41.65,2
549844,58.0,5
549845,6.75,1
549847,43.7,2
549851,219.2,4
549852,89.1,5
549874,95.4,6
549880,81.0,1
549881,34.0,1
549885,146.1,5
549901,8.25,1
549902,51.65,2
549903,129.95,6
549906,35.55,4
549907,313.8,8
549909,64.7,3
549910,67.85,8
549914,89.8,2
549915,25.5,1
549916,46.75,3
549917,21.85,2
549920,45.3,3
549923,23.8,1
549924,96.4,2
549927,657.0,1
549929,49.65,2
549934,17.85,1
549936,412.05,2
549937,166.45,4
549939,71.4,2
549942,65.4,1
549943,34.4,4
549946,175.2,1
549947,56.3,3
549949,9.95,1
549951,152.4,4
549953,140.25,6
549957,31.8,2
549958,25.8,2
549959,74.65,4
549961,25.5,1
549964,164.45,9
549966,15.9,1
549970,76.5,1
549974,35.45,2
549975,125.05,6
549978,118.85,6
549981,120.4,5
549983,26.25,2
549984,241.9,6
549985,361.2,6
549988,81.1,7
549989,160.45,9
549990,69.6,3
549991,105.4,2
549995,347.0,6
549996,350.4,1
549999,253.5,5
550000,212.15,9
550001,37.75,2
550002,18.0,1
550003,40.55,2
550004,72.0,1
550006,103.55,8
550008,117.55,6
550016,251.05,7
550017,21.9,1
550033,7.95,1
550034,73.7,3
550035,185.85,11
550052,16.35,1
550054,76.5,1
550057,7.5,1
550071,61.2,3
550106,26.7,3
550120,53.7,1
550121,33.75,2
550124,187.4,9
550125,102.15,5
550129,52.05,3
550130,98.6,6
550131,17.0,1
550132,67.6,3
550134,170.0,3
550136,147.0,4
550137,498.05,14
550144,63.05,7
550145,199.5,8
550148,39.75,3
550149,42.5,1
550151,140.25,1
550152,35.95,1
550155,31.8,2
550158,71.2,3
550159,202.5,2
550161,171.7,7
550162,36.0,1
550163,518.0,6
550167,25.5,1
550169,7.95,1
550173,33.9,2
550178,105.55,4
550180,255.55,10
550183,273.75,12
550185,459.3,9
550186,330.0,3
550187,258.75,6
550188,339.7,6
550189,113.4,4
550190,17.85,1
550191,47.0,2
550192,120.0,1
550193,703.8,25
550194,17.0,1
550196,51.6,4
550197,23.8,2
550199,31.8,1
550200,47.7,1
550201,453.6,13
550202,559.9,8
550216,13.5,1
550250,146.1,6
550251,25.5,1
550255,95.4,3
550264,267.9,6
550265,19.9,1
550272,5.95,1
550275,71.6,4
550276,135.0,1
550277,160.8,4
550279,180.4,5
550281,40.0,1
550284,54.8,3
550285,78.5,4
550286,136.2,2
550287,23.85,2
550288,8.5,1
550289,39.8,2
550290,32.65,2
550291,37.75,2
550292,29.8,3
550296,128.7,7
550297,122.25,7
550298,12.5,1
550299,1693.6,11
550301,103.05,5
550302,232.05,11
550303,11.9,1
550304,17.85,1
550305,16.95,1
550307,159.2,1
550309,83.4,1
550310,17.0,1
550311,11.9,2
550312,53.7,1
550313,101.55,4
550314,113.46,7
550316,19.9,1
550317,49.65,3
550318,15.45,2
550319,29.8,2
550320,155.0,9
550321,7.95,1
550322,37.15,4
550323,78.85,4
550324,24.4,2
550325,103.7,6
550326,16.95,1
550327,33.75,2
550328,15.9,2
550329,76.15,5
550331,19.85,2
550332,47.55,5
550333,176.8,7
550334,206.65,13
550335,101.05,9
550336,82.5,5
550338,34.35,2
550339,104.2,7
550341,39.8,2
550342,43.35,2
550343,34.2,2
550345,51.0,1
550346,51.7,3
550348,59.6,3
550350,270.75,13
550351,43.7,2
550352,94.8,6
550354,222.75,1
550357,12.75,1
550359,50.1,6
550360,217.65,14
550361,93.2,5
550362,272.0,1
550364,65.3,3
550377,34.0,1
550389,11.9,1
550408,33.4,2
550437,51.85,3
550438,373.2,22
550439,272.4,13
550440,90.65,3
550446,123.0,7
550447,95.85,8
550449,49.05,2
550457,67.5,1
550459,72.5,8
550461,4254.5,1
550464,72.45,3
550465,65.4,1
550467,119.1,8
550468,31.2,2
550469,7.65,1
550473,12.75,1
550477,111.95,6
550478,62.3,4
550480,18.45,2
550481,136.0,3
550483,35.7,1
550487,35.7,1
550488,9.95,1
550490,149.2,7
550492,92.9,6
550493,85.35,3
550495,61.65,3
550498,5.95,1
550503,68.05,4
550504,56.8,3
550512,38.6,5
550513,81.6,5
550515,74.4,7
550516,89.55,1
550517,186.1,7
550518,79.5,3
550519,19.9,1
550521,94.2,5
550522,29.9,1
550523,38.7,2
550525,97.4,4
550526,63.75,1
550527,570.3,11
550528,60.45,4
550532,29.8,4
550535,17.0,1
550539,9.95,1
550560,25.5,1
550607,157.05,7
550610,89.55,1
550612,85.4,10
550613,37.4,2
550615,46.6,3
550616,65.4,2
550617,111.2,3
550618,72.5,2
550620,291.6,7
550621,19.7,2
550622,323.9,12
550623,35.7,2
550625,36.0,1
550626,18.2,2
550627,148.7,8
550628,9.95,1
550629,59.65,3
550631,91.7,6
550632,59.0,4
550633,63.55,5
550637,72.95,7
550644,133.05,3
550645,47.6,1
550651,139.6,13
550655,81.35,2
550656,72.4,4
550657,19.9,1
550659,83.5,3
550660,67.5,1
550661,105.0,3
550662,56.5,3
550665,51.9,2
550666,110.0,6
550669,102.0,1
550670,49.5,3
550673,71.4,1
550674,142.8,1
550675,19.9,1
550710,288.0,1
550712,230.4,4
550713,12.5,1
550714,59.5,3
550723,6.75,1
550750,49.65,3
550754,597.0,2
550755,23.8,1
550756,127.5,1
550764,50.05,6
550765,82.5,5
550766,112.85,5
550768,168.15,5
550769,40.3,2
550773,76.2,1
550774,43.35,2
550775,253.3,7
550776,16.95,1
550777,44.9,3
550778,103.85,4
550779,152.4,2
550781,183.36,5
550783,36.4,2
550784,15.9,1
550785,12.75,1
550796,27.85,2
550798,59.7,1
550799,128.8,7
550801,137.5,2
550802,84.5,4
550803,27.25,1
550804,104.4,6
550805,49.05,2
550806,93.3,5
550817,69.8,2
550819,72.5,6
550820,177.7,8
550821,27.8,4
550822,94.9,2
550823,432.55,6
550826,83.4,4
550827,153.3,3
550828,10.95,1
550829,127.1,12
550830,60.65,4
550831,79.5,5
550832,397.2,10
550834,89.75,9
550835,268.5,16
550836,348.55,21
550885,79.95,5
550890,311.85,6
550899,319.75,9
550900,71.4,1
550901,93.3,6
550911,252.0,15
550912,188.35,7
550913,107.35,7
550914,647.15,10
550915,21.85,3
550916,46.35,2
550918,194.5,11
550920,79.5,2
550921,215.8,10
550923,12.75,1
550924,40.0,1
550925,172.6,9
550938,96.9,5
550939,17.85,1
550941,15.9,2
550942,97.3,5
550944,29.9,1
550946,18.0,1
550955,34.0,2
550956,9.95,1
550958,60.35,3
550960,56.25,3
550965,81.7,4
550968,104.55,3
550971,17.85,1
550972,32.1,4
550973,449.05,12
550978,38.25,1
550989,8.25,1
550992,44.85,2
550993,67.8,4
550994,91.75,4
550997,12.75,1
550998,40.0,1
550999,31.8,1
551000,47.6,1
551001,226.2,2
551002,23.8,1
551003,23.85,3
551013,122.5,7
551014,177.5,8
551016,439.9,6
551028,184.1,10
551033,44.55,3
551035,339.5,6
551054,211.4,8
551056,53.7,6
551057,81.15,7
551058,62.2,7
551059,41.4,3
551062,175.2,1
551085,216.65,7
551088,60.95,3
551124,65.4,1
551125,130.75,7
551134,34.0,3
551136,106.9,5
551137,38.6,5
551142,118.5,8
551143,53.65,3
551145,107.1,2
551147,35.8,2
551150,107.9,5
551151,95.4,3
551152,80.7,5
551158,112.5,7
551160,169.4,10
551163,9.95,1
551164,7.95,1
551170,89.2,4
551171,63.45,5
551181,262.8,1
551185,330.0,6
551187,50.0,1
551192,25.5,1
551193,68.05,6
551194,8.5,1
551197,83.85,2
551211,301.85,2
551247,98.15,3
551250,56.0,5
551258,508.3,3
551259,1642.5,1
551262,89.1,5
551268,51.65,6
551269,47.6,3
551270,106.15,8
551271,51.7,3
551273,523.8,4
551274,67.5,1
551275,50.85,3
551276,69.55,5
551277,108.45,8
551278,40.0,1
551280,53.7,3
551282,93.45,5
551283,69.95,5
551284,54.75,7
551286,153.0,1
551288,31.8,1
551289,23.8,1
551291,175.2,1
551292,40.5,1
551294,23.8,1
551301,234.2,6
551315,44.7,3
551332,101.85,5
551337,62.65,4
551341,258.45,3
551343,86.7,2
551344,142.8,2
551345,90.0,1
551346,60.9,2
551347,262.75,2
551350,281.4,3
551352,108.8,3
551383,43.7,2
551384,364.0,4
551385,253.3,6
551387,99.35,4
551389,43.5,2
551390,37.75,2
551392,37.8,2
551393,585.0,2
551395,31.8,2
551396,103.9,6
551397,22.7,2
551398,104.85,2
551399,155.05,6
551400,16.5,1
551412,31.75,3
551413,250.2,2
551414,337.05,14
551415,33.9,1
551416,23.8,1
551417,200.55,6
551418,25.85,2
551419,400.0,1
551420,70.9,3
551421,60.8,3
551424,16.95,1
551427,47.6,1
551428,91.3,3
551436,133.1,7
551439,200.65,10
551440,23.8,3
551445,25.5,1
551462,97.8,3
551467,196.5,3
551469,8.95,1
551470,32.4,2
551471,79.5,7
551514,76.45,1
551515,152.4,2
551516,154.2,5
551517,7.95,1
551518,162.65,6
551519,159.05,6
551524,32.7,2
551525,17.9,2
551527,61.55,3
551528,59.7,4
551529,187.7,3
551531,98.5,6
551532,106.4,7
551533,89.1,10
551535,19.9,1
551542,96.4,4
551543,74.65,4
551544,89.0,2
551546,82.3,5
551548,58.2,3
551549,34.35,2
551550,12.75,1
551552,36.0,1
551556,81.9,5
551558,43.4,4
551559,220.0,1
551560,133.8,1
551563,16.5,1
551564,77.55,5
551566,280.5,1
551584,212.85,11
551599,87.05,4
551616,23.9,3
551623,25.5,1
551649,40.0,1
551650,220.9,5
551653,118.5,4
551654,195.1,2
551655,26.35,3
551656,200.85,8
551657,193.15,11
551658,5.95,1
551660,19.9,1
551661,50.75,3
551665,67.6,3
551686,25.8,3
551687,51.0,1
551688,35.7,1
551693,19.9,1
551697,8142.75,1
551702,273.3,3
551713,25.5,1
551714,42.95,2
551715,183.0,9
551717,40.55,4
551720,17.85,1
551721,140.95,3
551724,7.95,1
551725,67.5,1
551727,67.75,5
551730,273.9,5
551731,31.8,2
551733,92.25,4
551734,41.75,3
551739,47.25,3
551747,166.6,1
551774,37.8,3
551775,190.9,12
551791,345.65,4
551809,429.4,5
551810,7.95,1
551811,197.95,7
551812,56.7,4
551813,129.15,8
551814,36.4,2
551815,31.8,2
551816,105.0,5
551817,20.85,3
551818,72.0,1
551819,202.5,3
551820,36.0,1
551821,120.35,10
551823,214.75,6
551824,42.5,3
551825,17.0,1
551833,67.5,1
551835,112.55,7
551836,9.95,1
551839,15.9,1
551840,472.5,7
551843,79.15,5
551844,32.85,3
551845,7.95,1
551846,93.5,2
551849,267.1,6
551850,86.25,5
551851,375.0,1
551852,109.35,4
551854,58.8,3
551855,390.7,15
551857,114.1,7
551858,34.65,4
551859,39.8,1
551860,41.4,3
551862,220.15,2
551868,578.55,5
551870,81.3,3
551872,39.8,1
551876,95.4,4
551879,148.1,2
551880,275.3,14
551881,51.0,1
551882,28.65,2
551886,18.0,1
551887,36.0,1
551888,51.0,1
551890,27.0,1
551891,33.5,2
551893,117.4,2
551894,16.35,1
551896,59.5,3
551897,31.8,2
551907,37.75,2
551944,38.25,1
551945,15.0,1
551946,227.8,2
551950,107.3,3
551953,109.6,6
551954,155.5,4
551956,95.0,9
551957,250.0,1
551959,17.0,1
551960,91.3,4
551961,96.15,5
551962,123.75,5
551967,35.7,1
551976,667.8,3
551977,183.6,1
551978,218.85,4
551979,175.2,1
551980,71.75,3
551982,210.4,15
551983,75.1,4
551985,27.75,2
551986,68.95,5
551987,34.8,4
551990,68.0,1
551991,30.6,4
551992,289.3,4
551993,5.95,1
551994,38.2,2
551996,31.8,1
551998,28.4,3
552004,25.5,1
552005,12.5,1
552007,128.5,5
552008,311.2,3
552010,48.55,3
552011,110.95,6
552013,185.7,5
552018,81.6,2
552023,113.85,5
552025,16.5,2
552032,43.05,3
552036,49.6,5
552038,1896.6,6
552039,844.55,21
552040,407.1,9
552042,222.8,6
552044,36.5,2
552045,130.8,7
552046,112.85,7
552048,270.0,1
552051,12.75,1
552054,15.9,1
552057,83.55,4
552058,150.3,5
552061,81.3,3
552064,31.75,2
552065,76.75,4
552080,285.6,2
552108,42.35,5
552121,83.9,3
552134,100.7,4
552139,7.95,1
552149,212.5,6
552166,31.8,2
552167,63.75,3
552176,18.7,2
552179,55.65,2
552180,45.05,3
552182,165.15,8
552183,24.0,2
552184,34.0,1
552185,36.25,2
552186,13.3,1
552188,49.9,2
552191,36.25,2
552192,134.8,5
552193,47.6,4
552195,153.3,1
552196,49.2,2
552202,89.05,3
552217,148.65,6
552231,273.9,14
552233,51.0,1
552235,25.5,1
552236,298.7,4
552238,125.1,1
552239,181.5,10
552240,79.5,2
552242,51.75,4
552243,55.25,5
552245,82.75,4
552249,7.95,1
552252,83.55,4
552255,25.5,1
552256,192.2,3
552257,25.6,3
552259,70.35,2
552260,277.2,4
552262,183.0,6
552263,202.35,3
552265,252.0,10
552266,51.0,1
552267,96.05,11
552268,63.6,4
552269,39.5,5
552270,25.5,2
552271,52.1,3
552273,55.6,3
552274,24.0,2
552275,59.8,1
552277,116.5,10
552278,23.85,2
552280,33.55,4
552281,313.95,13
552282,200.7,11
552283,70.5,2
552285,51.2,5
552287,17.0,1
552290,30.65,2
552291,74.7,3
552295,49.0,5
552297,109.75,5
552298,111.6,6
552299,101.45,7
552303,33.15,2
552304,43.55,5
552306,55.85,4
552307,74.35,7
552308,95.4,2
552309,64.5,3
552313,447.5,16
552315,203.75,4
552316,86.4,4
552318,111.45,10
552319,17.85,1
552320,31.9,1
552321,162.9,5
552322,82.55,5
552323,44.25,2
552324,127.7,2
552325,36.0,1
552326,105.4,4
552327,11.9,1
552329,147.0,4
552333,238.95,4
552336,76.5,1
552337,85.8,2
552340,417.0,1
552341,816.0,1
552342,262.8,1
552353,104.4,7
552357,87.25,4
552358,301.3,11
552364,33.75,2
552365,66.65,4
552372,53.55,3
552376,95.4,8
552410,62.1,4
552418,15.9,1
552441,32.65,2
552442,129.4,5
552444,34.0,2
552445,113.6,2
552447,37.5,1
552448,35.8,3
552449,45.4,2
552451,50.94,1
552452,12.75,1
552460,63.6,2
552463,17.85,1
552464,18.0,1
552465,32.35,4
552466,46.0,1
552467,23.8,1
552472,62.5,4
552479,17.0,1
552491,228.6,2
552526,6.25,1
552528,72.75,5
552530,63.6,3
552531,271.75,8
552532,117.7,2
552533,124.2,2
552536,68.6,5
552538,14.95,1
552542,23.8,1
552543,30.0,1
552547,368.8,4
552548,103.35,5
552549,334.71,1
552550,203.0,3
552554,64.95,5
552555,121.5,2
552557,195.6,1
552558,33.75,2
552559,199.15,7
552560,320.0,3
552562,67.5,1
552563,535.65,9
552565,314.55,1
552567,34.0,1
552571,92.0,3
552574,51.6,4
552575,27.8,2
552614,100.3,3
552624,282.95,16
552631,36.0,1
